DRX036930	SAMD00034280
DRX036931	SAMD00034281
DRX036932	SAMD00034282
DRX036933	SAMD00034283
DRX036934	SAMD00034284
DRX036935	SAMD00034285
DRX036936	SAMD00034286
DRX036937	SAMD00034287
DRX036938	SAMD00034288
DRX036939	SAMD00034289
DRX036940	SAMD00034290
DRX036941	SAMD00034291
DRX036942	SAMD00034292
DRX036943	SAMD00034293
DRX036944	SAMD00034294
DRX036945	SAMD00034295
DRX036946	SAMD00034296
DRX036947	SAMD00034297
DRX036948	SAMD00034298
DRX036949	SAMD00034299
DRX036950	SAMD00034300
DRX036951	SAMD00034301
DRX036952	SAMD00034302
DRX036953	SAMD00034303
DRX036954	SAMD00034304
DRX036955	SAMD00034305
DRX036956	SAMD00034306
DRX036957	SAMD00034307
DRX036958	SAMD00034308
DRX036959	SAMD00034309
DRX036960	SAMD00034310
DRX036961	SAMD00034311
DRX036962	SAMD00034312
DRX036963	SAMD00034313
DRX036964	SAMD00034314
DRX036965	SAMD00034315
DRX036966	SAMD00034316
DRX036967	SAMD00034317
DRX036968	SAMD00034318
DRX036969	SAMD00034319
DRX036970	SAMD00034320
DRX036971	SAMD00034321
DRX036972	SAMD00034322
DRX036973	SAMD00034323
DRX036974	SAMD00034324
DRX036975	SAMD00034325
DRX036976	SAMD00034326
DRX036977	SAMD00034327
DRX036978	SAMD00034328
DRX036979	SAMD00034329
DRX036980	SAMD00034330
DRX036981	SAMD00034331
DRX036982	SAMD00034332
DRX042191	SAMD00041600
DRX042192	SAMD00041601
DRX042193	SAMD00041602
DRX042194	SAMD00041603
DRX042608	SAMD00042393
DRX042609	SAMD00042394
DRX043731	SAMD00042609
DRX043732	SAMD00042611
DRX043733	SAMD00042613
DRX043734	SAMD00042615
DRX044723	SAMD00043601
DRX044724	SAMD00043602
DRX044725	SAMD00043603
DRX044726	SAMD00043604
DRX044999	SAMD00043468
DRX045001	SAMD00043470
DRX045215	SAMD00044071
DRX045216	SAMD00044072
DRX051676	SAMD00048574
DRX051981	SAMD00049226
DRX055569	SAMD00051853
DRX055570	SAMD00051854
DRX055571	SAMD00051855
DRX055572	SAMD00051856
DRX055573	SAMD00051857
DRX055574	SAMD00051858
DRX055575	SAMD00051859
DRX055576	SAMD00051860
DRX060322	SAMD00056530
DRX077521	SAMD00071602
DRX077522	SAMD00071603
DRX077523	SAMD00071604
DRX077524	SAMD00071605
DRX077525	SAMD00071606
DRX077852	SAMD00048521
DRX077853	SAMD00048521
DRX077854	SAMD00048521
DRX077855	SAMD00048521
DRX077858	SAMD00048521
DRX077859	SAMD00048521
DRX077860	SAMD00048521
DRX077861	SAMD00048521
DRX077862	SAMD00048521
DRX077863	SAMD00048521
DRX077864	SAMD00048521
DRX077867	SAMD00048521
ERX011182	SAMEA962348
ERX011184	SAMEA962350
ERX011193	SAMEA962345
ERX011194	SAMEA962332
ERX011195	SAMEA962336
ERX011203	SAMEA962333
ERX011204	SAMEA962341
ERX011205	SAMEA962334
ERX011212	SAMEA962347
ERX011229	SAMEA962335
ERX1000690	SAMEA3461152
ERX1000691	SAMEA3461153
ERX1000692	SAMEA3461156
ERX1002168	SAMEA3463406
ERX1002169	SAMEA3463407
ERX1002170	SAMEA3463408
ERX1002175	SAMEA3463413
ERX1002180	SAMEA3463418
ERX1002190	SAMEA3463428
ERX1002208	SAMEA3463446
ERX1002212	SAMEA3463450
ERX1002303	SAMEA3463548
ERX1002304	SAMEA3463549
ERX1002305	SAMEA3463550
ERX1002306	SAMEA3463551
ERX1002307	SAMEA3463552
ERX1002308	SAMEA3463553
ERX1002701	SAMEA3461154
ERX1002702	SAMEA3461155
ERX1002703	SAMEA3461157
ERX1005202	SAMEA3219562
ERX1005203	SAMEA3219563
ERX1005204	SAMEA3219564
ERX1007623	SAMEA3466925
ERX1007624	SAMEA3466926
ERX1007625	SAMEA3466927
ERX1007626	SAMEA3466928
ERX1007627	SAMEA3466929
ERX1007628	SAMEA3466930
ERX1007629	SAMEA3466931
ERX1007630	SAMEA3466932
ERX1007631	SAMEA3466933
ERX1007632	SAMEA3466934
ERX1007633	SAMEA3466935
ERX1007634	SAMEA3466936
ERX1007635	SAMEA3466937
ERX1007636	SAMEA3466938
ERX1007637	SAMEA3466939
ERX1007638	SAMEA3466940
ERX1007639	SAMEA3466941
ERX1007640	SAMEA3466942
ERX1007641	SAMEA3466943
ERX1007642	SAMEA3466944
ERX1007643	SAMEA3466945
ERX1007644	SAMEA3466946
ERX1007645	SAMEA3466947
ERX1007646	SAMEA3466948
ERX1007647	SAMEA3466949
ERX1007648	SAMEA3466950
ERX1007649	SAMEA3466951
ERX1007650	SAMEA3466952
ERX1007651	SAMEA3466953
ERX1007652	SAMEA3466954
ERX1007653	SAMEA3466955
ERX1007654	SAMEA3466956
ERX1007655	SAMEA3466957
ERX1007656	SAMEA3466958
ERX1007657	SAMEA3466959
ERX1007658	SAMEA3466960
ERX1007659	SAMEA3466961
ERX1007660	SAMEA3466962
ERX1007661	SAMEA3466963
ERX1007662	SAMEA3466964
ERX1007663	SAMEA3466965
ERX1007664	SAMEA3466966
ERX1007665	SAMEA3466967
ERX1007667	SAMEA3466969
ERX1007668	SAMEA3466970
ERX1007669	SAMEA3466971
ERX1007670	SAMEA3466972
ERX1007671	SAMEA3466973
ERX1007672	SAMEA3466974
ERX1007673	SAMEA3466975
